question,answer,relevant_laws,sections_extracted
คู่สัญญาสามารถตกลงว่าผู้ขายไม่ต้องรับผิดในการรอนสิทธิได้หรือไม่,สามารถตกลงได้ว่า ผู้ขายจะไม่รับผิดทั้งในเรื่องความชำรุดบกพร่องหรือการรอนสิทธิ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 483 คู่สัญญาซื้อขายจะตกลงกันว่าผู้ขายจะไม่ต้องรับผิดเพื่อความชำรุดบกพร่องหรือเพื่อการรอนสิทธิก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 483\nคู่สัญญาซื้อขายจะตกลงกันว่าผู้ขายจะไม่ต้องรับผิดเพื่อความชำรุดบกพร่องหรือเพื่อการรอนสิทธิก็ได้', 'section_num': '483'}]",['483']
ผู้ทรงสิทธิเก็บกินมีหน้าที่อย่างไร,"ผู้ทรงสิทธิเก็บกินมีหน้าที่ในการรักษาทรัพย์สินเหมือนมาตรฐานที่บุคคลทั่วไปรักษาทรัพย์สินของตนเอง 

อธิบาย: ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1421 การใช้สิทธิเก็บกินนั้น ผู้ทรงสิทธิต้องรักษาทรัพย์สินเสมอกับที่วิญญูชนพึงรักษาทรัพย์สินของตนเอง","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1421\nในการใช้สิทธิเก็บกินนั้น ผู้ทรงสิทธิต้องรักษาทรัพย์สินเสมอกับที่วิญญูชนพึงรักษาทรัพย์สินของตนเอง', 'section_num': '1421'}]",['1421']
ผู้รับประกันภัยมีกำหนดจ่ายเงินให้แก่ผู้เอาประกันภัยอย่างไร,ตามแต่คู่สัญญาจะตกลงกัน อาจจะเป็นเงินจำนวนเดียว หรือรายปีก็ได้ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 890 จำนวนเงินอันจะพึงใช้ (ในกรณีนี้ไม่ใช่เบี้ยประกันภัย) จะชำระเป็นเงินจำนวนเดียว หรือเป็นเงินรายปีก็ได้ สุดแล้วแต่จะตกลงกันระหว่างคู่สัญญา,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 890\nจำนวนเงินอันจะพึงใช้นั้น จะชำระเป็นเงินจำนวนเดียว หรือเป็นเงินรายปีก็ได้ สุดแล้วแต่จะตกลงกันระหว่างคู่สัญญา', 'section_num': '890'}]",['890']
การลดทุนบริษัทด้วยการลดจำนวนหุ้นสามารถทำได้หรือไม่,สามารถทำได้ แต่ห้ามลดจำนวนหุ้นจนเหลือต่ำกว่า 25% ของทุนจดทะเบียน ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1225 อันทุนของบริษัทนั้นไม่ให้ลดลงไปให้ต่ำกว่าจำนวน 1 ใน 4 ของทุนทั้งหมด,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1225\nอันทุนของบริษัทนั้นจะลดลงไปให้ถึงต่ำกว่าจำนวนหนึ่งในสี่ของทุนทั้งหมดหาได้ไม่', 'section_num': '1225'}]",['1225']
ถ้าสิทธิเรียกร้องที่เกิดจากคำพิพากษาถึงที่สุดมีอายุความกี่ปี,มีอายุความ 10 ปี ไม่ว่าสิทธิเรียกร้องเดิมจะมีกำหนดอายุความเท่าใดก็ตาม ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/32 สิทธิเรียกร้องที่เกิดขึ้นโดยคำพิพากษาของศาลที่ถึงที่สุด หรือโดยสัญญาประนีประนอมยอมความ ให้มีกำหนดอายุความ 10 ปี ทั้งนี้ ไม่ว่าสิทธิเรียกร้องเดิมจะมีกำหนดอายุความเท่าใด,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/32\nสิทธิเรียกร้องที่เกิดขึ้นโดยคำพิพากษาของศาลที่ถึงที่สุด หรือโดยสัญญาประนีประนอมยอมความ ให้มีกำหนดอายุความสิบปี ทั้งนี้ ไม่ว่าสิทธิเรียกร้องเดิมจะมีกำหนดอายุความเท่าใด', 'section_num': '193/32'}]","['193/32', '193']"
ถ้ามีคำสั่งไม่รับจดทะเบียนมูลนิธิจะสามารถอุทธรณ์ได้หรือไม่,สามารถอุทธรณ์ได้ โดยผู้ขอจดทะเบียนอุทธรณ์ต่อรัฐมนตรีว่าการกระทรวงมหาดไทย โดยทำเป็นหนังสือยื่นต่อนายทะเบียนภายใน 30 วันนับแต่วันที่ได้รับแจ้งคำสั่งไม่รับจดทะเบียน ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 115,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 115\nเมื่อนายทะเบียนได้รับคำขอแล้วเห็นว่า คำขอนั้นถูกต้องตามมาตรา 114 และข้อบังคับถูกต้องตามมาตรา 112 และวัตถุประสงค์เป็นไปตามมาตรา 110 และไม่ขัดต่อกฎหมายหรือศีลธรรมอันดีของประชาชน หรือไม่เป็นภยันตรายต่อความสงบสุขของประชาชนหรือความมั่นคงของรัฐ และรายการซึ่งจดแจ้งในคำขอหรือข้อบังคับสอดคล้องกับวัตถุประสงค์ของมูลนิธิ และผู้จะเป็นกรรมการของมูลนิธินั้นมีฐานะและความประพฤติเหมาะสมในการดำเนินการตามวัตถุประสงค์ของมูลนิธิ ให้นายทะเบียนรับจดทะเบียนและออกใบสำคัญแสดงการจดทะเบียนให้แก่มูลนิธินั้น และประกาศการจัดตั้งมูลนิธิในราชกิจจานุเบกษา\nถ้านายทะเบียนเห็นว่าคำขอหรือข้อบังคับไม่ถูกต้องตามมาตรา 114 หรือมาตรา 112 หรือรายการซึ่งจดแจ้งในคำขอหรือข้อบังคับไม่สอดคล้องกับวัตถุประสงค์ของมูลนิธิ หรือผู้จะเป็นกรรมการของมูลนิธิมีฐานะหรือความประพฤติไม่เหมาะสมในการดำเนินการตามวัตถุประสงค์ของมูลนิธิ ให้มีคำสั่งให้ผู้ขอจดทะเบียนแก้ไขหรือเปลี่ยนแปลงให้ถูกต้อง เมื่อแก้ไขหรือเปลี่ยนแปลงถูกต้องแล้ว ให้รับจดทะเบียนและออกใบสำคัญแสดงการจดทะเบียนให้แก่มูลนิธินั้น\nถ้านายทะเบียนเห็นว่าไม่อาจรับจดทะเบียนได้เนื่องจากวัตถุประสงค์ของมูลนิธิไม่เป็นไปตามมาตรา 110 หรือขัดต่อกฎหมายหรือศีลธรรมอันดีของประชาชนหรืออาจเป็นภยันตรายต่อความสงบสุขของประชาชนหรือความมั่นคงของรัฐ หรือผู้ขอจดทะเบียนไม่แก้ไขหรือเปลี่ยนแปลงให้ถูกต้องภายในสามสิบวันนับแต่วันที่ทราบคำสั่งของนายทะเบียน ให้นายทะเบียนมีคำสั่งไม่รับจดทะเบียน และแจ้งคำสั่งพร้อมด้วยเหตุผลที่ไม่รับจดทะเบียนให้ผู้ขอจดทะเบียนทราบโดยมิชักช้า\nผู้ขอจดทะเบียนมีสิทธิอุทธรณ์คำสั่งไม่รับจดทะเบียนนั้นต่อรัฐมนตรีว่าการกระทรวงมหาดไทย โดยทำเป็นหนังสือยื่นต่อนายทะเบียนภายในสามสิบวันนับแต่วันที่ได้รับแจ้งคำสั่งไม่รับจดทะเบียน\nให้รัฐมนตรีว่าการกระทรวงมหาดไทยวินิจฉัยอุทธรณ์และแจ้งคำวินิจฉัยให้ผู้อุทธรณ์ทราบภายในเก้าสิบวันนับแต่วันที่นายทะเบียนได้รับหนังสืออุทธรณ์ คำวินิจฉัยของรัฐมนตรีว่าการกระทรวงมหาดไทยให้เป็นที่สุด', 'section_num': '115'}]","['115', '114', '112', '110']"
ภาระจำยอมคืออะไร,ภาระจำยอม หมายถึงการที่เจ้าของอสังหาริมทรัพย์ต้องยอมรับการกระทำบางอย่างซึ่งกระทบซึ่งทรัพย์สินของตน หรือต้องงดเว้นการใช้สิทธินั้น เพื่อประโยชน์ของอสังหาริมทรัพย์อื่น ตามที่กำหนดในประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1387,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1387\nอสังหาริมทรัพย์อาจต้องตกอยู่ในภาระจำยอมอันเป็นเหตุให้เจ้าของต้องยอมรับกรรมบางอย่างซึ่งกระทบถึงทรัพย์สินของตน หรือต้องงดเว้นการใช้สิทธิบางอย่างอันมีอยู่ในกรรมสิทธิ์ทรัพย์สินนั้น เพื่อประโยชน์แก่อสังหาริมทรัพย์อื่น', 'section_num': '1387'}]",['1387']
ลูกหนี้สามารถชำระหนี้ต่อเจ้าหนี้ได้อย่างไรบ้าง,"หลัก : ให้ลูกหนี้ชำระหนี้กับเจ้าหนี้โดยตรง 
ข้อยกเว้น : กรณีเจ้าหนี้ไม่รับชำระหนี้ หรือเจ้าหนี้ต้องทำสิ่งใดก่อนการชำระหนี้นั้น ถ้าลูกหนี้ได้บอกกล่าวเจ้าหนี้ว่าเตรียมพร้อมชำระหนี้แล้วและให้เจ้าหนี้รับชำระหนี้ คำบอกกล่าวเช่นนี้ให้ถือเสมือนเป็นคำขอชำระหนี้ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 208","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 208\nการชำระหนี้จะให้สำเร็จผลเป็นอย่างใด ลูกหนี้จะต้องขอปฏิบัติการชำระหนี้ต่อเจ้าหนี้เป็นอย่างนั้นโดยตรง\nแต่ถ้าเจ้าหนี้ได้แสดงแก่ลูกหนี้ว่า จะไม่รับชำระหนี้ก็ดี หรือเพื่อที่จะชำระหนี้จำเป็นที่เจ้าหนี้จะต้องกระทำการอย่างใดอย่างหนึ่งก่อนก็ดี ลูกหนี้จะบอกกล่าวแก่เจ้าหนี้ว่าได้เตรียมการที่จะชำระหนี้ไว้พร้อมเสร็จแล้ว ให้เจ้าหนี้รับชำระหนี้นั้น เท่านี้ก็นับว่าเป็นการเพียงพอแล้ว ในกรณีเช่นนี้ท่านว่าคำบอกกล่าวของลูกหนี้นั้นก็เสมอกับคำขอปฏิบัติการชำระหนี้', 'section_num': '208'}]",['208']
ถ้าจะถอนผู้จัดการมรดกต้องร้องต่อศาลภายในเมื่อใด,ต้องร้องต่อศาลก่อนที่จะมีการแบ่งมรดกเสร็จสิ้น ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1727,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1727\nผู้มีส่วนได้เสียคนหนึ่งคนใดจะร้องขอให้ศาลสั่งถอนผู้จัดการมรดก เพราะเหตุผู้จัดการมรดกละเลยไม่ทำการตามหน้าที่ หรือเพราะเหตุอย่างอื่นที่สมควรก็ได้ แต่ต้องร้องขอเสียก่อนที่การปันมรดกเสร็จสิ้นลง\nแม้ถึงว่าจะได้เข้ารับตำแหน่งแล้วก็ดี ผู้จัดการมรดกจะลาออกจากตำแหน่งโดยมีเหตุอันสมควรก็ได้ แต่ต้องได้รับอนุญาตจากศาล', 'section_num': '1727'}]",['1727']
ถ้าพ่อและแม่ไม่ได้จดทะเบียนสมรส แต่พ่อได้ส่งเสียเลี้ยงดูลูกแต่เกิดโดยคนทั่วไปเข้าใจว่าเป็นลูกแท้ๆ ลูกจะสามารถฟ้องให้พ่อรับเป็นบุตรตามกฎหมายได้หรือไม่,"ตอบ: สามารถฟ้องคดีขอให้รับเด็กเป็นบุตรโดยชอบด้วยกฎหมายได้ เนื่องจากมีพฤติการรู้กันทั่วไปตลอดมาว่าเป็นบุตร 

คำอธิบาย : ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1555 ในคดีฟ้องขอให้รับเด็กเป็นบุตรชอบด้วยกฎหมาย ให้สันนิษฐานไว้ก่อนว่าเด็กเป็นบุตรชอบด้วยกฎหมายของชายเมื่อปรากฏข้อเท็จจริงอย่างหนึ่งอย่างใด ดังต่อไปนี้ 

(7) เมื่อมีพฤติการณ์ที่รู้กันทั่วไปตลอดมาว่าเป็นบุตร พฤติการณ์ที่รู้กันทั่วไปตลอดมาว่าเป็นบุตร ให้พิจารณาข้อเท็จจริงที่แสดงความเกี่ยวข้องฉันบิดากับบุตรซึ่งปรากฏในระหว่างตัวเด็กกับครอบครัวที่เด็กอ้างว่าตนสังกัดอยู่ เช่น บิดาให้การศึกษา ให้ความอุปการะเลี้ยงดูหรือยอมให้เด็กนั้นใช้ชื่อสกุลของตนหรือโดยเหตุประการอื่น","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1555\nในคดีฟ้องขอให้รับเด็กเป็นบุตรชอบด้วยกฎหมาย ให้สันนิษฐานไว้ก่อนว่าเด็กเป็นบุตรชอบด้วยกฎหมายของชายเมื่อปรากฏข้อเท็จจริงอย่างหนึ่งอย่างใด ดังต่อไปนี้\n(1) เมื่อมีการข่มขืนกระทำชำเรา ฉุดคร่า หรือหน่วงเหนี่ยวกักขังหญิงมารดาโดยมิชอบด้วยกฎหมายในระยะเวลาซึ่งหญิงนั้นอาจตั้งครรภ์ได้\n(2) เมื่อมีการลักพาหญิงมารดาไปในทางชู้สาวหรือมีการล่อลวงร่วมประเวณีกับหญิงมารดาในระยะเวลาซึ่งหญิงนั้นอาจตั้งครรภ์ได้\n(3) เมื่อมีเอกสารของบิดาแสดงว่าเด็กนั้นเป็นบุตรของตน\n(4) เมื่อปรากฏในทะเบียนคนเกิดว่าเด็กเป็นบุตรโดยมีหลักฐานว่าบิดาเป็นผู้แจ้งการเกิดหรือรู้เห็นยินยอมในการแจ้งนั้น\n(5) เมื่อบิดามารดาได้อยู่กินด้วยกันอย่างเปิดเผยในระยะเวลาซึ่งหญิงมารดาอาจตั้งครรภ์ได้\n(6) เมื่อได้มีการร่วมประเวณีกับหญิงมารดาในระยะเวลาซึ่งหญิงนั้นอาจตั้งครรภ์ได้ และมีเหตุอันควรเชื่อได้ว่าเด็กนั้นมิได้เป็นบุตรของชายอื่น\n(7) เมื่อมีพฤติการณ์ที่รู้กันทั่วไปตลอดมาว่าเป็นบุตร\nพฤติการณ์ที่รู้กันทั่วไปตลอดมาว่าเป็นบุตรนั้น ให้พิจารณาข้อเท็จจริงที่แสดงความเกี่ยวข้องฉันบิดากับบุตรซึ่งปรากฏในระหว่างตัวเด็กกับครอบครัวที่เด็กอ้างว่าตนสังกัดอยู่ เช่น บิดาให้การศึกษา ให้ความอุปการะเลี้ยงดูหรือยอมให้เด็กนั้นใช้ชื่อสกุลของตนหรือโดยเหตุประการอื่น\nในกรณีใดกรณีหนึ่งดังกล่าวข้างต้น ถ้าปรากฏว่าชายไม่อาจเป็นบิดาของเด็กนั้นได้ ให้ยกฟ้องเสีย', 'section_num': '1555'}]",['1555']
บุคคลภายนอกจ้างตัวเเทนทำสัญญา ผูกพันตัวการหรือไม่,ไม่ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 825 ถ้าตัวแทนเข้าทำสัญญากับบุคคลภายนอกโดยเห็นแก่อามิสสินจ้างเป็นทรัพย์สินหรือประโยชน์อย่างอื่นที่บุคคลภายนอกได้ให้เป็นลาภส่วนตัว หรือให้คำมั่นว่าจะให้ ตัวการไม่ต้องผูกพันในสัญญาซึ่งตัวแทนของตนได้ทำ เว้นแต่ตัวการจะได้ยินยอมด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 825\nถ้าตัวแทนเข้าทำสัญญากับบุคคลภายนอกโดยเห็นแก่อามิสสินจ้างเป็นทรัพย์สินอย่างใด ๆ หรือประโยชน์อย่างอื่นอันบุคคลภายนอกได้ให้เป็นลาภส่วนตัวก็ดี หรือให้คำมั่นว่าจะให้ก็ดี ท่านว่าตัวการหาต้องผูกพันในสัญญาซึ่งตัวแทนของตนได้ทำนั้นไม่ เว้นแต่ตัวการจะได้ยินยอมด้วย', 'section_num': '825'}]",['825']
ระยะเวลาบังคับจำนองมีเพียงใด,ระยะเวลาบังคับจำนอง บังคับได้ดังนี้ 1 ตลอดที่หนี้หลักยังอยู่ในอายุความ และ 2 บังคับได้แม้หนี้หลักขาดอายุความแล้ว แต่จะบังคับเอาดอกเบี้ยที่ค้างชำระในการจำนองเกินกว่า 5 ปีไม่ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 745\nผู้รับจำนองจะบังคับจำนองแม้เมื่อหนี้ที่ประกันนั้นขาดอายุความแล้วก็ได้ แต่จะบังคับเอาดอกเบี้ยที่ค้างชำระในการจำนองเกินกว่าห้าปีไม่ได้', 'section_num': '745'}]",['745']
การตั้งชื่อสมาคมมีข้อกหนดหรือไม่,มี ดังนี้ ต้องใช้ชื่อซึ่งมีคำว่า “สมาคม” อยู่ด้วยกับชื่อของสมาคม เช่น สมาคมคนรักภริยาแห่งมหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 80\nสมาคมต้องใช้ชื่อซึ่งมีคำว่า “สมาคม” ประกอบกับชื่อของสมาคม', 'section_num': '80'}]",['80']
การถูกกำจัดไม่ให้รับมรดกผลเป็นอย่างไร,การถูกกำจัดไม่ให้รับมรดก มีผลดังนี้ 1 เป็นการเฉพาะตัว 2 ผู้สืบสันดานของทายาทที่ถูกกำจัดสามารถสืบมรดกต่อไปเหมือนหนึ่งว่าทายาทนั้นตายแล้ว แต่ทรัพย์สินที่ผู้สืบสันดานได้รับมรดกมา ไม่มีสิทธิที่จะจัดการและใช้ดังที่ระบุไว้ในบรรพ 5 ลักษณะ 2 หมวด 3 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ในกรณีเช่นนั้นให้ใช้มาตรา 1548 บังคับโดยอนุโลม,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1607\nการถูกกำจัดมิให้รับมรดกนั้นเป็นการเฉพาะตัว ผู้สืบสันดานของทายาทที่ถูกกำจัดสืบมรดกต่อไปเหมือนหนึ่งว่าทายาทนั้นตายแล้ว แต่ในส่วนทรัพย์สินซึ่งผู้สืบสันดานได้รับมรดกมาเช่นนี้ ทายาทที่ว่านั้นไม่มีสิทธิที่จะจัดการและใช้ดังที่ระบุไว้ในบรรพ 5 ลักษณะ 2 หมวด 3 แห่งประมวลกฎหมายนี้ ในกรณีเช่นนั้นให้ใช้มาตรา 1548 บังคับโดยอนุโลม', 'section_num': '1607'}]","['1607', '1548']"
ผู้ขอจัดตั้งมูลนิธิมีสิทธิขอถอนการจัดตั้งมูลนิธิได้โดยอย่างไร,"ผู้ขอจัดตั้งมูลนิธิมีสิทธิขอถอนการจัดตั้งมูลนิธิได้โดย ""ทำเป็นหนังสือยื่นต่อนายทะเบียน"" โดยสิทธิที่จะขอถอนการจัดตั้งมูลนิธินี้ไม่ตกทอดไปยังทายาท ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 116 กรณีที่มีผู้ขอจัดตั้งมูลนิธิหลายคน ถ้าผู้ขอจัดตั้งมูลนิธิคนหนึ่งคนใดใช้สิทธิถอนการจัดตั้งมูลนิธิ ให้คำขอจัดตั้งมูลนิธินั้นเป็นอันระงับไป","[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 116\nก่อนที่นายทะเบียนรับจดทะเบียนมูลนิธิ ผู้ขอจัดตั้งมูลนิธิมีสิทธิขอถอนการจัดตั้งมูลนิธิได้โดยทำเป็นหนังสือยื่นต่อนายทะเบียน สิทธิที่จะขอถอนการจัดตั้งมูลนิธินี้ไม่ตกทอดไปยังทายาท\nในกรณีที่มีผู้ขอจัดตั้งมูลนิธิหลายคน ถ้าผู้ขอจัดตั้งมูลนิธิคนหนึ่งคนใดใช้สิทธิถอนการจัดตั้งมูลนิธิ ให้คำขอจัดตั้งมูลนิธินั้นเป็นอันระงับไป', 'section_num': '116'}]",['116']
ผู้ใดเป็นผู้ตรวจสอบบริษัทจำกัด,1 รัฐมนตรี หรือ 2 เจ้าหน้าที่โดยลำพังตนเอง จะตั้งผู้ตรวจคนเดียวหรือหลายคนให้ไปตรวจการของบริษัทเพื่อทำรายงานยื่นต่อรัฐบาลก็ได้ ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1219 การตั้งผู้ตรวจเช่นว่ามานี้จะพึงมีเมื่อใดสุดแล้วแต่รัฐมนตรีจะเห็นสมควร,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1219\nรัฐมนตรี*เจ้าหน้าที่โดยลำพังตนเอง จะตั้งผู้ตรวจคนเดียวหรือหลายคนให้ไปตรวจการของบริษัทเพื่อทำรายงานยื่นต่อรัฐบาลก็ได้ การตั้งผู้ตรวจเช่นว่ามานี้จะพึงมีเมื่อใดสุดแล้วแต่รัฐมนตรี*จะเห็นสมควร', 'section_num': '1219'}]",['1219']
ต้นไม้เป็นส่วนควบที่ดินหรือไม่,1 ไม้ยืนต้นเป็นส่วนควบกับที่ดินที่ไม้นั้นขึ้นอยู่ เช่น ต้นสัก ต้นโพธิ์ 2 ไม้ล้มลุกหรือธัญชาติที่สามารถเก็บเกี่ยวผลผลิตได้หนึ่งครั้งหรือหลายครั้งต่อปี ไม่เป็นส่วนควบกับที่ดิน เช่น พืชผักสวนครัว,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 145\nไม้ยืนต้นเป็นส่วนควบกับที่ดินที่ไม้นั้นขึ้นอยู่\nไม้ล้มลุกหรือธัญชาติอันจะเก็บเกี่ยวรวงผลได้คราวหนึ่งหรือหลายคราวต่อปีไม่เป็นส่วนควบกับที่ดิน', 'section_num': '145'}]",['145']
กรณีอสังหาริมทรัพย์อาจต้องตกอยู่ในภาระติดพันส่งผลใดบ้าง,ผู้รับประโยชน์มีสิทธิ ดังนี้ 1 ผู้รับประโยชน์มีสิทธิได้รับการชำระหนี้เป็นคราว ๆ จากทรัพย์สินนั้น หรือ 2 ได้ใช้และถือเอาซึ่งประโยชน์แห่งทรัพย์สินตามที่ระบุไว้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1429\nอสังหาริมทรัพย์อาจต้องตกอยู่ในภาระติดพันอันเป็นเหตุให้ผู้รับประโยชน์มีสิทธิได้รับการชำระหนี้เป็นคราว ๆ จากทรัพย์สินนั้น หรือได้ใช้และถือเอาซึ่งประโยชน์แห่งทรัพย์สินตามที่ระบุไว้', 'section_num': '1429'}]",['1429']
การดูหมิ่นหรือหมิ่นประมาทสามารถเรียกค่าสินไหมทดแทนทางแพ่งได้หรือไม่,ได้ โดยการดูหมิ่นหรือหมิ่นประมาทต้องมีองค์ประกอบ ดังนี้ 1 ผู้ใด 2 กล่าวหรือไขข่าวแพร่หลาย 3 ข้อความอันฝ่าฝืนต่อความจริง(ต้องเป็นความเท็จ) 4 เป็นที่เสียหายแก่ชื่อเสียงหรือเกียรติคุณของบุคคลอื่นก็ดี หรือเป็นที่เสียหายแก่ทางทำมาหาได้หรือทางเจริญของเขาโดยประการอื่นก็ดี ผล ผู้นั้นจะต้องใช้ค่าสินไหมทดแทนให้แก่เขาเพื่อความเสียหายอย่างใด ๆ อันเกิดแต่การนั้น แม้ตนไม่รู้ว่าข้อความนั้นไม่จริง(นึกว่าเป็นความจริง) แต่ควรจะรู้ได้ว่าเป็นความเท็จ ข้อยกเว้นไม่ต้องรับผิดเนื่องจากการส่งข่าวที่ตนมีส่วนได้เสีย มีองค์ประกอบดังนี้ 1 ผู้ใด 2 ส่งข่าวสาร 3 อันตนไม่รู้ว่าเป็นความเท็จ(คิดว่าเป็นความจริง) ซึ่งตนเองหรือผู้รับข่าวสารนั้นมีทางได้เสียโดยชอบในการนั้นด้วย ผู้นั้นไม่ต้องรับผิดใช้ค่าสินไหมทดแทน,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 423\nผู้ใดกล่าวหรือไขข่าวแพร่หลายซึ่งข้อความอันฝ่าฝืนต่อความจริง เป็นที่เสียหายแก่ชื่อเสียงหรือเกียรติคุณของบุคคลอื่นก็ดี หรือเป็นที่เสียหายแก่ทางทำมาหาได้หรือทางเจริญของเขาโดยประการอื่นก็ดี ท่านว่าผู้นั้นจะต้องใช้ค่าสินไหมทดแทนให้แก่เขาเพื่อความเสียหายอย่างใด ๆ อันเกิดแต่การนั้น แม้ทั้งเมื่อตนมิได้รู้ว่าข้อความนั้นไม่จริง แต่หากควรจะรู้ได้\nผู้ใดส่งข่าวสารอันตนมิได้รู้ว่าเป็นความไม่จริง หากว่าตนเองหรือผู้รับข่าวสารนั้นมีทางได้เสียโดยชอบในการนั้นด้วยแล้ว ท่านว่าเพียงที่ส่งข่าวสารเช่นนั้นหาทำให้ผู้นั้นต้องรับผิดใช้ค่าสินไหมทดแทนไม่', 'section_num': '423'}]",['423']
กรณีผู้รับจ้างเป็นผู้จัดหาอุปกรณ์ในการทำงาน ต้องใช้อุปกรณ์คุณภาพระดับใด,ผู้รับจ้างต้องหาอุปกรณ์ชนิดที่ดี,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 589\nถ้าสัมภาระสำหรับทำการงานที่กล่าวนั้นผู้รับจ้างเป็นผู้จัดหา ท่านว่าต้องจัดหาชนิดที่ดี', 'section_num': '589'}]",['589']
กรณีที่มีข้อสงสัยในมูลหนี้ต้องทำอย่างไร,ให้ตีความไปในทางที่เป็นคุณแก่คู่กรณีฝ่ายซึ่งจะเป็นผู้ต้องเสียในมูลหนี้นั้น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 11\nในกรณีที่มีข้อสงสัย ให้ตีความไปในทางที่เป็นคุณแก่คู่กรณีฝ่ายซึ่งจะเป็นผู้ต้องเสียในมูลหนี้นั้น', 'section_num': '11'}]",['11']
